제목,구분,카테고리,지역,연령,성별
[마포구]중년기 1인가구를 위한 나도! 사진작가(모집종료),프로그램,기타,마포구,"40,50,60,70,80,90,100","남성,여성"
자기돌봄역량강화 집단상담 참여자 모집,상담,외로움,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
상담 멘토링 멘티 모집,프로그램,외로움,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
청바지&에코백 새활용 프로그램 참여자 모집(오후반),프로그램,기타,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
* 조기마감 [동작구] 1인가구 자기돌봄 프로그램 '내마음의 스케치북',프로그램,기타,동작구,"20,30","남성,여성"
(마감) 그림마루 심리미술 강좌,프로그램,기타,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[1인가구 인문학] 다양한 문화 속으로<세계 공예 여행>,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 나만의 펜트하우스,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 영양 가득 요리 교실 참여자 모집,프로그램,기타,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[노원구] 오직, 당신만을 위한 시간",프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
정보제공상담,상담,안전,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[동대문구] 여성안심홈세트지원사업 '지켜줘, 홈즈!'",프로그램,주거,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100",여성
[서초구] 서초1인가구를 위한 언택트 연말 홈파티 서초 언택트 싱글데이,행사,기타,서초구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 1인가구 일상생활 역량강화 프로그램 '일취월장' 참여자 모집,프로그램,경제/일자리,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"퇴근 후, 러닝크루",프로그램,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[고덕1동] 온동네 나눔냉장고 & 누구나 열린곳간 사업,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 사회적 관계망 모임 '원더랜드' 참여자 모집,프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 1인가구 생활 적응지원 '생활습관형성: 루틴' 참여자 모집 안내,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 사회적 관계망 지원(자조모임) '줍삼' 모임원 모집,소모임,외로움,성북구,"0,10,20,20,30,40,50","남성,여성"
[고덕1동] 백의 민족 세탁 봉사단,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[중장년 1인가구 소셜다이닝 '행복한 밥상'] (마감),프로그램,기타,강서구,"40,50,60,70,80,90,100","남성,여성"
